# 山西省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：山西省

[省长]
王森浩, 1983.04-1992.08
胡富国, 1992.08-1993.09
孙文盛, 1993.09-1999.07
刘振华, 1999.07-2004.01
张宝顺, 2004.01-2005.07
于幼军, 2005.07-2007.09
孟学农, 2007.09-2008.09
王君, 2008.09-2012.12
李小鹏, 2012.12-2016.08
楼阳生, 2016.08-2019.12
林武, 2019.12-2021.06
蓝佛安, 2021.06-2022.12
金湘军, 2022.12-2025.04
卢东亮, 2025.06-至今

[省委书记]
李立功, 1983.03-1991.03
王茂林, 1991.03-1993.09
胡富国, 1993.09-1999.06
田成平, 1999.06-2005.07
张宝顺, 2005.07-2010.05
袁纯清, 2010.05-2014.09
王儒林, 2014.09-2016.06
骆惠宁, 2016.06-2019.11
楼阳生, 2019.11-2021.05
林武, 2021.05-2022.12
蓝佛安, 2022.12-2023.09
唐登杰, 2023.10-至今
