# 浙江省主官名单（1990年起）
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）

省份：浙江省
起始年份：1990

[省长]
葛洪升, 1990.11-1993.10
万学远, 1993.01-1997.04
柴松岳, 1997.04-2002.10
习近平, 2002.00-2003.00
吕祖善, 2003.01-2011.08
夏宝龙, 2011.00-2012.00
李强, 2012.00-2016.00
车俊, 2016.07-2017.04
袁家军, 2017.04-2020.08
郑栅洁, 2020.09-2021.09
王浩, 2021.09-2024.12
刘捷, 2024.12-至今

[省委书记]
张德江, 1998.09-2002.11
习近平, 2002.11-2007.03
赵洪祝, 2007.03-2012.11
夏宝龙, 2012.12-2017.04
车俊, 2017.04-2020.08
袁家军, 2020.09-2022.12
易炼红, 2022.12-2024.10
王浩, 2024.10-至今
