# 青海省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：青海省

[省长]
金基鹏, 1989.11-1992.12
田成平, 1992.12-1997.04
白恩培, 1997.04-1999.08
赵乐际, 1999.08-2003.10
杨传堂, 2003.10-2004.12
宋秀岩, 2004.12-2010.01
骆惠宁, 2010.01-2013.03
郝鹏, 2013.03-2016.12
王建军, 2016.12-2018.08
刘宁, 2018.08-2020.06
信长星, 2020.06-2022.02
吴晓军, 2022.03-2024.12
罗东川, 2025.01-至今

[省委书记]
尹克升, 1985.07-1997.03
田成平, 1997.03-1999.06
白恩培, 1999.06-2001.10
苏荣, 2001.10-2003.08
赵乐际, 2003.08-2007.03
强卫, 2007.03-2013.03
骆惠宁, 2013.03-2016.06
王国生, 2016.06-2018.03
王建军, 2018.03-2022.03
信长星, 2022.03-2023.01
陈刚, 2023.01-2024.12
吴晓军, 2024.12-至今
