# 上海市主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：市长=百度百科星图, 市委书记=Wikipedia+百科+手工补充

省份：上海市

[市长]
陈毅, 1949.00-1958.00
柯庆施, 1958.00-1965.00
曹荻秋, 1965.12-1967.01
张春桥, 1967.02-1976.10
苏振华, 1976.10-1979.01
彭冲, 1979.12-1981.04
汪道涵, 1981.04-1985.07
江泽民, 1985.07-1988.04
朱镕基, 1988.04-1991.04
黄菊, 1991.04-1995.02
徐匡迪, 1995.02-2001.12
陈良宇, 2001.12-2003.02
韩正, 2003.02-2012.12
杨雄, 2012.12-2017.01
应勇, 2017.01-2020.02
龚正, 2020.03-至今

[市委书记]
饶漱石, 1949.05-1950.01
陈毅, 1950.01-1954.08
柯庆施, 1954.08-1965.04
陈丕显, 1965.11-1967.01
张春桥, 1971.01-1976.10
苏振华, 1976.10-1979.01
彭冲, 1979.01-1980.03
陈国栋, 1980.03-1985.06
芮杏文, 1985.06-1987.11
江泽民, 1987.11-1989.08
朱镕基, 1989.08-1991.04
吴邦国, 1991.04-1994.09
黄菊, 1994.09-2002.10
陈良宇, 2002.10-2006.09
习近平, 2007.03-2007.10
俞正声, 2007.10-2012.11
韩正, 2012.11-2017.10
李强, 2017.10-2022.10
陈吉宁, 2022.10-至今
