# 云南省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：云南省

[省长]
陈赓, 1950.03-1953.00
郭影秋, 1953.00-1957.00
于一川, 1957.00-1965.00
刘明辉, 1965.00-1983.04
谭甫仁, 1968.12-1970.12
周兴, 1971.05-1975.10
贾启允, 1975.10-1977.02
安平生, 1977.02-1979.12
普朝柱, 1983.00-1985.00
和志强, 1985.00-1998.00
李嘉廷, 1998.01-2001.06
徐荣凯, 2001.06-2006.11
秦光荣, 2006.11-2011.08
李纪恒, 2011.08-2014.10
陈豪, 2014.10-2016.12
阮成发, 2016.12-2020.11
王予波, 2020.11-至今

[省委书记]
宋任穷, 1950.02-1952.07
谢富治, 1952.07-1959.08
阎红彦, 1959.08-1967.01
周兴, 1971.03-1975.10
贾启允, 1975.10-1977.02
安平生, 1977.02-1985.06
普朝柱, 1985.06-1995.06
高严, 1995.06-1997.08
令狐安, 1997.08-2001.10
白恩培, 2001.10-2011.08
秦光荣, 2011.08-2014.10
李纪恒, 2014.10-2016.08
陈豪, 2016.08-2020.11
阮成发, 2020.11-2021.10
王宁, 2021.10-至今
