# 四川省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：四川省

[省长]
李井泉, 1954.08-1955.01
李大章, 1955.01-1968.05
张国华, 1968.05-1972.02
刘兴元, 1972.02-1975.10
鲁大东, 1979.12-1982.12
杨析综, 1983.04-1985.05
蒋民宽, 1985.05-1988.01
张皓若, 1988.01-1993.01
肖秧, 1993.01-1996.02
宋宝瑞, 1996.02-1999.05
张中伟, 1999.06-2007.01
蒋巨峰, 2007.01-2013.01
魏宏, 2013.01-2016.01
尹力, 2016.01-2020.01
黄强, 2020.11-2024.06
施小琳, 2024.07-至今

[省委书记]
李井泉, 1952.09-1965.02
廖志高, 1965.02-1967.01
张国华, 1969.12-1972.02
刘兴元, 1972.03-1975.10
赵紫阳, 1975.10-1980.03
谭启龙, 1980.03-1982.12
杨汝岱, 1983.02-1993.04
谢世杰, 1993.02-2000.01
周永康, 2000.01-2002.12
张学忠, 2002.12-2006.12
杜青林, 2006.12-2007.12
刘奇葆, 2007.12-2012.11
王东明, 2012.11-2018.03
彭清华, 2018.03-2022.04
王晓晖, 2022.04-至今
