# 天津市主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：市长=百度百科星图, 市委书记=Wikipedia+百科+手工补充

省份：天津市

[市长]
黄敬, 1949.01-1953.04
吴德, 1953.04-1955.01
黄火青, 1955.01-1958.06
李耕涛, 1958.06-1963.09
胡昭衡, 1963.12-1967.12
解学恭, 1967.12-1978.06
林乎加, 1978.06-1978.10
陈伟达, 1978.10-1980.06
胡启立, 1980.06-1982.05
李瑞环, 1982.05-1989.10
聂璧初, 1989.10-1993.06
张立昌, 1993.06-1998.05
李盛霖, 1998.05-2002.12
戴相龙, 2002.12-2007.12
黄兴国, 2007.12-2016.09
王东峰, 2016.09-2017.10
张国清, 2018.01-2020.08
廖国勋, 2020.09-2022.04
张工, 2022.05-至今

[市委书记]
黄克诚, 1949.01-1949.05
黄敬, 1949.05-1953.04
黄火青, 1953.04-1958.06
万晓塘, 1958.06-1966.09
解学恭, 1967.01-1978.06
林乎加, 1978.06-1978.10
陈伟达, 1978.10-1984.10
倪志福, 1984.10-1987.08
李瑞环, 1987.08-1989.11
谭绍文, 1989.10-1993.02
聂璧初, 1993.02-1993.03
高德占, 1993.03-1997.08
张立昌, 1997.08-2007.03
张高丽, 2007.03-2012.11
孙春兰, 2012.11-2014.12
黄兴国, 2014.12-2016.09
李鸿忠, 2016.09-2022.12
陈敏尔, 2022.12-至今
