# 宁夏回族自治区主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：主席=百度百科星图, 自治区党委书记=Wikipedia+百科+手工补充

省份：宁夏回族自治区

[主席]
潘自力, 1949.09-1952.01
邢肇棠, 1952.01-1955.01
刘格平, 1958.10-1960.09
杨静仁, 1960.09-1968.04
康健民, 1968.04-1977.01
霍士廉, 1977.01-1979.02
马信, 1979.02-1983.02
黑伯理, 1983.04-1987.04
白立忱, 1986.00-1997.00
马启智, 1997.12-2007.04
王正伟, 2007.00-2013.00
刘慧, 2013.03-2016.07
咸辉, 2016.07-2022.05
张雨浦, 2022.05-至今

[自治区党委书记]
潘自力, 1949.09-1951.10
朱敏, 1951.10-1953.12
李景林, 1953.01-1954.07
汪锋, 1959.02-1961.01
杨静仁, 1961.01-1967.01
康健民, 1971.08-1977.01
霍士廉, 1977.01-1979.02
李学智, 1979.02-1986.12
沈达人, 1986.12-1989.12
黄璜, 1989.12-1997.08
毛如柏, 1997.08-2002.06
陈建国, 2002.06-2010.07
张毅, 2010.07-2013.03
李建华, 2013.03-2017.04
石泰峰, 2017.04-2019.10
陈润儿, 2019.10-2022.03
梁言顺, 2022.03-2024.06
李邑飞, 2024.06-至今
