# 安徽省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：安徽省

[省长]
曾希圣, 1952.08-1955.03
黄岩, 1955.02-1967.09
李德生, 1968.04-1973.00
宋佩璋, 1975.00-1977.00
万里, 1978.01-1979.12
张劲夫, 1979.12-1981.00
周子健, 1981.00-1983.04
王郁昭, 1983.04-1987.06
卢荣景, 1987.06-1989.04
傅锡寿, 1988.04-1994.12
回良玉, 1994.12-1998.10
王太华, 1998.10-2000.01
许仲林, 2000.01-2002.10
王金山, 2002.10-2007.11
王三运, 2007.12-2011.12
李斌, 2011.12-2013.03
王学军, 2013.03-2015.06
李锦斌, 2015.06-2016.09
李国英, 2016.09-2021.01
王清宪, 2021.02-至今

[省委书记]
曾希圣, 1952.01-1962.02
李葆华, 1962.02-1971.01
李德生, 1971.01-1975.05
宋佩璋, 1975.05-1977.06
万里, 1977.06-1980.03
张劲夫, 1980.03-1982.04
周子健, 1982.04-1984.12
黄璜, 1984.12-1986.04
李贵鲜, 1986.04-1988.04
卢荣景, 1988.04-1998.08
回良玉, 1998.08-1999.12
王太华, 2000.01-2004.12
郭金龙, 2004.12-2007.12
王金山, 2007.12-2010.06
张宝顺, 2010.06-2015.05
王学军, 2015.06-2016.08
李锦斌, 2016.08-2021.09
郑栅洁, 2021.09-2023.03
韩俊, 2023.03-2024.06
梁言顺, 2024.06-至今
