# 广东省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：广东省

[省长]
陶铸, 1955.00-1957.00
陈郁, 1957.00-1968.00
黄永胜, 1968.00-1971.00
刘兴元, 1969.06-1972.03
丁盛, 1972.03-1973.12
韦国清, 1975.10-1978.12
习仲勋, 1979.12-1981.02
刘田夫, 1981.03-1983.04
梁灵光, 1983.00-1985.00
叶选平, 1985.00-1991.00
朱森林, 1991.05-1996.02
卢瑞华, 1996.02-2003.01
黄华华, 2003.01-2011.11
朱小丹, 2011.00-2016.00
马兴瑞, 2016.00-2021.00
王伟中, 2021.12-2025.09
孟凡利, 2025.10-至今

[省委书记]
陶铸, 1955.07-1965.02
赵紫阳, 1965.02-1967.03
黄永胜, 1968.02-1969.11
刘兴元, 1969.11-1972.03
丁盛, 1972.03-1973.12
赵紫阳, 1974.04-1975.10
韦国清, 1975.10-1978.12
习仲勋, 1978.12-1980.11
任仲夷, 1980.11-1985.07
林若, 1985.07-1991.01
谢非, 1991.01-1998.05
李长春, 1998.05-2002.12
张德江, 2002.12-2007.12
汪洋, 2007.12-2012.12
胡春华, 2012.12-2017.10
李希, 2017.10-2022.10
黄坤明, 2022.10-至今
