# 广西壮族自治区主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：主席=百度百科星图, 自治区党委书记=Wikipedia+百科+手工补充

省份：广西壮族自治区

[主席]
张云逸, 1949.09-1952.00
韦国清, 1955.02-1978.12
安平生, 1975.10-1977.02
乔晓光, 1977.12-1979.12
覃应机, 1979.12-1983.03
韦纯束, 1983.03-1990.00
成克杰, 1990.00-1998.01
李兆焯, 1998.00-2003.00
陆兵, 2003.04-2007.12
马飚, 2007.00-2013.00
陈武, 2013.00-2020.00
蓝天立, 2020.10-2025.05
韦韬, 2025.07-至今

[自治区党委书记]
张云逸, 1949.08-1951.08
陶铸, 1951.08-1952.08
张云逸, 1952.08-1955.08
韦国清, 1955.08-1956.06
陈漫远, 1956.06-1957.06
刘建勋, 1957.06-1961.07
韦国清, 1961.07-1970.04
乔晓光, 1966.09-1967.01
韦国清, 1967.01-1975.10
安平生, 1975.10-1977.02
乔晓光, 1977.02-1985.06
陈辉光, 1985.06-1990.10
赵富林, 1990.10-1997.07
曹伯纯, 1997.07-2006.06
刘奇葆, 2006.06-2007.12
郭声琨, 2007.12-2012.12
彭清华, 2012.12-2018.03
鹿心社, 2018.03-2021.10
刘宁, 2021.10-2024.12
陈刚, 2024.12-至今
