# 浙江省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：浙江省

[省长]
谭震林, 1949.05-1954.12
沙文汉, 1954.12-1957.12
霍士廉, 1957.11-1958.01
周建人, 1958.01-1966.00
南萍, 1968.03-1973.05
李丰平, 1979.12-1983.05
薛驹, 1983.03-1987.03
沈祖伦, 1988.02-1990.11
葛洪升, 1990.11-1993.10
万学远, 1993.01-1997.04
柴松岳, 1997.04-2002.10
习近平, 2002.00-2003.00
吕祖善, 2003.01-2011.08
夏宝龙, 2011.00-2012.00
李强, 2012.00-2016.00
车俊, 2016.07-2017.04
袁家军, 2017.04-2020.08
郑栅洁, 2020.09-2021.09
王浩, 2021.09-2024.12
刘捷, 2024.12-至今

[省委书记]
谭启龙, 1949.05-1954.08
江华, 1954.08-1971.01
南萍, 1971.01-1978.05
铁瑛, 1978.05-1982.10
王芳, 1982.10-1987.03
薛驹, 1987.03-1988.12
李泽民, 1988.12-1998.09
张德江, 1998.09-2002.11
习近平, 2002.11-2007.03
赵洪祝, 2007.03-2012.11
夏宝龙, 2012.12-2017.04
车俊, 2017.04-2020.08
袁家军, 2020.09-2022.12
易炼红, 2022.12-2024.10
王浩, 2024.10-至今
