# 湖北省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：湖北省
起始年份：1990

[省长]
刘子厚, 1954.08-1956.01
张体学, 1956.01-1966.05
曾思玉, 1968.02-1973.12
陈丕显, 1978.08-1980.01
韩宁夫, 1980.01-1982.08
黄知真, 1982.08-1986.01
郭振乾, 1986.01-1990.03
郭树言, 1990.03-1993.01
贾志杰, 1993.01-1995.02
蒋祝平, 1995.02-2001.02
张国光, 2000.12-2002.05
罗清泉, 2002.10-2007.12
李鸿忠, 2007.12-2010.12
王国生, 2010.12-2016.07
王晓东, 2016.09-2021.05
王忠林, 2021.05-2025.01
李殿勋, 2025.01-至今

[省委书记]
李先念, 1949.05-1954.05
王任重, 1954.05-1966.05
曾思玉, 1970.03-1975.07
赵辛初, 1975.07-1978.08
陈丕显, 1978.08-1982.00
关广富, 1983.02-1994.11
贾志杰, 1994.11-2000.12
蒋祝平, 2000.12-2001.12
俞正声, 2002.06-2007.10
罗清泉, 2007.10-2010.12
李鸿忠, 2010.12-2016.09
蒋超良, 2016.10-2020.02
应勇, 2020.02-2022.03
王蒙徽, 2022.03-2024.12
王忠林, 2024.12-至今
