# 甘肃省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：甘肃省

[省长]
邓宝珊, 1950.01-1966.00
冼恒汉, 1968.01-1977.06
冯纪新, 1979.12-1981.01
李登瀛, 1981.01-1983.04
陈光毅, 1983.04-1986.05
贾志杰, 1986.05-1992.12
阎海旺, 1993.01-1993.09
张吾乐, 1993.09-1996.07
孙英, 1996.06-1998.04
宋照肃, 1998.04-2001.01
陆浩, 2001.01-2006.10
徐守盛, 2006.10-2010.05
刘伟平, 2010.07-2016.03
林铎, 2016.04-2017.03
唐仁健, 2017.04-2020.11
任振鹤, 2020.12-至今

[省委书记]
张德生, 1949.07-1954.06
张仲良, 1954.06-1961.01
汪锋, 1961.01-1965.05
冼恒汉, 1971.02-1977.06
宋平, 1977.06-1981.01
冯纪新, 1982.03-1983.03
李子奇, 1983.03-1990.11
顾金池, 1990.10-1993.09
阎海旺, 1993.09-1998.04
孙英, 1998.04-2001.01
宋照肃, 2001.01-2003.08
苏荣, 2003.08-2006.07
陆浩, 2006.07-2011.12
王三运, 2011.12-2017.03
林铎, 2017.03-2021.03
尹弘, 2021.03-2022.12
胡昌升, 2022.12-至今
