# 福建省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：福建省

[省长]
叶飞, 1955.02-1959.01
江一真, 1959.01-1959.10
伍洪祥, 1960.05-1962.06
江一真, 1962.06-1962.09
魏金水, 1962.12-1968.08
韩先楚, 1968.08-1973.12
廖志高, 1974.11-1979.12
马兴元, 1979.12-1982.07
胡平, 1982.07-1987.08
王兆国, 1987.00-1990.00
贾庆林, 1990.00-1994.00
陈明义, 1994.04-1996.10
贺国强, 1996.00-1999.00
习近平, 1999.00-2002.00
卢展工, 2002.00-2004.00
黄小晶, 2004.12-2011.04
苏树林, 2011.04-2015.11
于伟国, 2015.11-2018.01
唐登杰, 2017.12-2020.07
王宁, 2020.07-2021.10
赵龙, 2021.10-至今

[省委书记]
张鼎丞, 1949.08-1954.10
叶飞, 1954.10-1967.05
韩先楚, 1971.04-1973.00
廖志高, 1974.01-1980.00
项南, 1980.00-1986.00
陈光毅, 1986.00-1993.00
贾庆林, 1993.00-1996.10
陈明义, 1996.10-2000.12
宋德福, 2000.12-2004.12
卢展工, 2004.12-2009.11
孙春兰, 2009.11-2012.12
尤权, 2012.12-2017.10
于伟国, 2017.10-2020.11
尹力, 2020.11-2022.11
周祖翼, 2022.11-至今
