# 辽宁省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：辽宁省

[省长]
杜者蘅, 1954.00-1958.00
黄欧东, 1958.12-1968.05
陈锡联, 1968.05-1973.12
曾绍山, 1975.09-1979.08
任仲夷, 1978.00-1980.00
陈璞如, 1980.01-1982.04
全树仁, 1983.00-1986.00
李长春, 1986.00-1990.00
岳岐峰, 1990.06-1994.04
闻世震, 1994.04-1998.01
张国光, 1998.01-2000.11
薄熙来, 2000.12-2004.02
张文岳, 2004.02-2007.12
陈政高, 2007.12-2014.04
李希, 2014.04-2015.05
陈求发, 2015.05-2017.10
唐一军, 2017.10-2020.04
刘宁, 2020.07-2021.10
李乐成, 2021.10-2025.03
王新伟, 2025.03-至今

[省委书记]
黄欧东, 1954.08-1958.06
黄火青, 1958.06-1971.01
陈锡联, 1971.01-1973.12
曾绍山, 1975.09-1978.09
任仲夷, 1978.09-1979.07
沈越, 1979.07-1983.06
郭峰, 1983.06-1985.06
李贵鲜, 1985.06-1986.04
全树仁, 1986.04-1993.10
顾金池, 1993.10-1997.08
闻世震, 1997.08-2004.12
李克强, 2004.12-2007.10
张文岳, 2007.10-2009.11
王珉, 2009.11-2015.05
李希, 2015.05-2017.10
陈求发, 2017.10-2020.08
张国清, 2020.08-2022.11
郝鹏, 2022.11-2025.09
许昆林, 2025.09-至今
