# 青海省主官名单
# 格式：姓名, 起始时间-终止时间
# 时间格式：YYYY.MM（不确定月份写 YYYY.00，在任写 至今）
# 数据来源：省长=百度百科星图, 省委书记=Wikipedia+百科+手工补充

省份：青海省

[省长]
赵寿山, 1950.01-1952.10
张仲良, 1952.11-1954.06
孙作宾, 1954.06-1958.03
袁任远, 1958.06-1962.06
王昭, 1962.08-1966.00
刘贤权, 1967.08-1977.02
谭启龙, 1977.02-1979.04
张国声, 1979.04-1982.12
黄静波, 1982.12-1985.08
宋瑞祥, 1985.08-1989.11
金基鹏, 1989.11-1992.12
田成平, 1992.12-1997.04
白恩培, 1997.04-1999.08
赵乐际, 1999.08-2003.10
杨传堂, 2003.10-2004.12
宋秀岩, 2004.12-2010.01
骆惠宁, 2010.01-2013.03
郝鹏, 2013.03-2016.12
王建军, 2016.12-2018.08
刘宁, 2018.08-2020.06
信长星, 2020.06-2022.02
吴晓军, 2022.03-2024.12
罗东川, 2025.01-至今

[省委书记]
张仲良, 1949.09-1954.05
高峰, 1954.05-1961.08
王昭, 1961.08-1962.11
杨植霖, 1962.11-1966.05
刘贤权, 1967.08-1977.02
谭启龙, 1977.02-1979.12
梁步庭, 1979.12-1982.12
赵海峰, 1982.12-1985.07
尹克升, 1985.07-1997.03
田成平, 1997.03-1999.06
白恩培, 1999.06-2001.10
苏荣, 2001.10-2003.08
赵乐际, 2003.08-2007.03
强卫, 2007.03-2013.03
骆惠宁, 2013.03-2016.06
王国生, 2016.06-2018.03
王建军, 2018.03-2022.03
信长星, 2022.03-2023.01
陈刚, 2023.01-2024.12
吴晓军, 2024.12-至今
